manifest_path,strategy,arm,replication,step,changed_file_count,change_spread,traceability_ratio,test_failures,contract_violations,run_ledger_compliance
benchmark/manifests/evolutionary/agent-card/rep01/C1/manifest.json,evolutionary,agent-card,rep01,C1,3,0.15,1.0,0,0,False
benchmark/manifests/evolutionary/agent-card/rep01/C2/manifest.json,evolutionary,agent-card,rep01,C2,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/agent-card/rep01/C3/manifest.json,evolutionary,agent-card,rep01,C3,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/agent-card/rep01/C4/manifest.json,evolutionary,agent-card,rep01,C4,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/agent-card/rep01/C5/manifest.json,evolutionary,agent-card,rep01,C5,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/agent-card/rep01/C6/manifest.json,evolutionary,agent-card,rep01,C6,3,0.15,1.0,0,0,True
benchmark/manifests/evolutionary/agent-card/rep02/C1/manifest.json,evolutionary,agent-card,rep02,C1,3,0.15,1.0,0,0,False
benchmark/manifests/evolutionary/agent-card/rep02/C2/manifest.json,evolutionary,agent-card,rep02,C2,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/agent-card/rep02/C3/manifest.json,evolutionary,agent-card,rep02,C3,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/agent-card/rep02/C4/manifest.json,evolutionary,agent-card,rep02,C4,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/agent-card/rep02/C5/manifest.json,evolutionary,agent-card,rep02,C5,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/agent-card/rep02/C6/manifest.json,evolutionary,agent-card,rep02,C6,3,0.15,1.0,0,0,True
benchmark/manifests/evolutionary/agent-card/rep03/C1/manifest.json,evolutionary,agent-card,rep03,C1,3,0.15,1.0,0,0,False
benchmark/manifests/evolutionary/agent-card/rep03/C2/manifest.json,evolutionary,agent-card,rep03,C2,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/agent-card/rep03/C3/manifest.json,evolutionary,agent-card,rep03,C3,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/agent-card/rep03/C4/manifest.json,evolutionary,agent-card,rep03,C4,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/agent-card/rep03/C5/manifest.json,evolutionary,agent-card,rep03,C5,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/agent-card/rep03/C6/manifest.json,evolutionary,agent-card,rep03,C6,3,0.15,1.0,0,0,True
benchmark/manifests/evolutionary/base/rep01/C1/manifest.json,evolutionary,base,rep01,C1,4,0.2,1.0,0,0,False
benchmark/manifests/evolutionary/base/rep01/C2/manifest.json,evolutionary,base,rep01,C2,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/base/rep01/C3/manifest.json,evolutionary,base,rep01,C3,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/base/rep01/C4/manifest.json,evolutionary,base,rep01,C4,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/base/rep01/C5/manifest.json,evolutionary,base,rep01,C5,2,0.1,1.0,0,0,False
benchmark/manifests/evolutionary/base/rep01/C6/manifest.json,evolutionary,base,rep01,C6,3,0.15,1.0,0,0,True
benchmark/manifests/evolutionary/base/rep02/C1/manifest.json,evolutionary,base,rep02,C1,4,0.2,1.0,0,0,False
