arm,strategy,step,manifest_count,avg_changed_file_count,avg_change_spread,avg_traceability_ratio,avg_test_failures,avg_contract_violations
agent-card,evolutionary,C1,3,3.0,0.15,1.0,0.0,0.0
agent-card,evolutionary,C2,3,2.0,0.1,1.0,0.0,0.0
agent-card,evolutionary,C3,3,2.0,0.1,1.0,0.0,0.0
agent-card,evolutionary,C4,3,2.0,0.1,1.0,0.0,0.0
agent-card,evolutionary,C5,3,2.0,0.1,1.0,0.0,0.0
agent-card,evolutionary,C6,3,3.0,0.15,1.0,0.0,0.0
agent-card,final-spec,C6,3,4.0,0.2,1.0,0.0,0.0
base,evolutionary,C1,3,4.0,0.2,1.0,0.0,0.0
base,evolutionary,C2,3,2.0,0.1,1.0,0.0,0.0
base,evolutionary,C3,3,2.0,0.1,1.0,0.0,0.0
base,evolutionary,C4,3,2.0,0.1,1.0,0.0,0.0
base,evolutionary,C5,3,2.0,0.1,1.0,0.0,0.0
base,evolutionary,C6,3,3.0,0.15,1.0,0.0,0.0
base,final-spec,C6,3,5.0,0.25,1.0,0.0,0.0
contract-first,evolutionary,C1,3,3.0,0.15,1.0,0.0,0.0
contract-first,evolutionary,C2,3,2.0,0.1,1.0,0.0,0.0
contract-first,evolutionary,C3,3,2.0,0.1,1.0,0.0,0.0
contract-first,evolutionary,C4,3,2.0,0.1,1.0,0.0,0.0
contract-first,evolutionary,C5,3,2.0,0.1,1.0,0.0,0.0
contract-first,evolutionary,C6,3,3.0,0.15,1.0,0.0,0.0
contract-first,final-spec,C6,3,4.0,0.2,1.0,0.0,0.0
contract-flow,evolutionary,C1,3,4.0,0.2,1.0,0.0,0.0
contract-flow,evolutionary,C2,3,2.0,0.1,1.0,0.0,0.0
contract-flow,evolutionary,C3,3,2.0,0.1,1.0,0.0,0.0
contract-flow,evolutionary,C4,3,2.0,0.1,1.0,0.0,0.0
contract-flow,evolutionary,C5,3,2.0,0.1,1.0,0.0,0.0
contract-flow,evolutionary,C6,3,3.0,0.15,1.0,0.0,0.0
contract-flow,final-spec,C6,3,5.0,0.25,1.0,0.0,0.0
